"model","chunk_words","overlap_words","k","split","embedding_dimension","model_context_tokens","index_chunks","document_embedding_seconds","query_embedding_seconds","retrieval_ms_per_question","questions","recall_at_k","recall_ci_low","recall_ci_high","page_recall_at_k","mrr_at_k","context_truncation_risk"
"all-minilm","800","0","3","development","384","512","72","3.085697","0.440551","0.00377","35","0.5142857142857142","0.35568539626711626","0.6700601960874726","0.6285714285714286","0.42857142857142855","True"
"all-minilm","800","0","5","development","384","512","72","3.085697","0.440551","0.00377","35","0.6571428571428571","0.4915164687273671","0.7916850471731106","0.7142857142857143","0.46","True"
"all-minilm","800","0","10","development","384","512","72","3.085697","0.440551","0.00377","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.8285714285714286","0.47436507936507927","True"
"all-minilm","800","50","1","development","384","512","77","3.281024","0.440551","0.002306","35","0.45714285714285713","0.3046577363376085","0.6181054865986247","0.5142857142857142","0.45714285714285713","True"
"all-minilm","800","50","3","development","384","512","77","3.281024","0.440551","0.002306","35","0.5714285714285714","0.4085712925897337","0.7201566691832108","0.7428571428571429","0.5095238095238096","True"
"all-minilm","800","50","5","development","384","512","77","3.281024","0.440551","0.002306","35","0.7142857142857143","0.5494475193017891","0.8367363660170444","0.8571428571428571","0.5452380952380953","True"
"all-minilm","800","50","10","development","384","512","77","3.281024","0.440551","0.002306","35","0.8","0.6410806339053748","0.899576805540992","0.9142857142857143","0.5564625850340137","True"
"all-minilm","800","100","1","development","384","512","82","3.403141","0.440551","0.002189","35","0.37142857142857144","0.23165607368891059","0.5366335951197893","0.5142857142857142","0.37142857142857144","True"
"all-minilm","800","100","3","development","384","512","82","3.403141","0.440551","0.002189","35","0.5714285714285714","0.4085712925897337","0.7201566691832108","0.6571428571428571","0.46666666666666673","True"
"all-minilm","800","100","5","development","384","512","82","3.403141","0.440551","0.002189","35","0.6","0.43572419581519467","0.7444949506669274","0.7142857142857143","0.47238095238095235","True"
"all-minilm","800","100","10","development","384","512","82","3.403141","0.440551","0.002189","35","0.7142857142857143","0.5494475193017891","0.8367363660170444","0.8571428571428571","0.4907482993197279","True"
"embeddinggemma","200","0","1","development","768","2048","286","60.622291","2.780771","0.005866","35","0.6","0.43572419581519467","0.7444949506669274","0.7714285714285715","0.6","False"
"embeddinggemma","200","0","3","development","768","2048","286","60.622291","2.780771","0.005866","35","0.8","0.6410806339053748","0.899576805540992","0.9142857142857143","0.6857142857142856","False"
"embeddinggemma","200","0","5","development","768","2048","286","60.622291","2.780771","0.005866","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","0.9428571428571428","0.6928571428571427","False"
"embeddinggemma","200","0","10","development","768","2048","286","60.622291","2.780771","0.005866","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","0.9428571428571428","0.6928571428571427","False"
"embeddinggemma","200","50","1","development","768","2048","381","79.466947","2.780771","0.006798","35","0.7142857142857143","0.5494475193017891","0.8367363660170444","0.8","0.7142857142857143","False"
"embeddinggemma","200","50","3","development","768","2048","381","79.466947","2.780771","0.006798","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","0.9428571428571428","0.7904761904761906","False"
"embeddinggemma","200","50","5","development","768","2048","381","79.466947","2.780771","0.006798","35","0.9428571428571428","0.8139261926062996","0.984187170385956","0.9714285714285714","0.8047619047619048","False"
"embeddinggemma","200","50","10","development","768","2048","381","79.466947","2.780771","0.006798","35","0.9428571428571428","0.8139261926062996","0.984187170385956","0.9714285714285714","0.8047619047619048","False"
"embeddinggemma","200","100","1","development","768","2048","570","115.673179","2.780771","0.009083","35","0.6571428571428571","0.4915164687273671","0.7916850471731106","0.7428571428571429","0.6571428571428571","False"
"embeddinggemma","200","100","3","development","768","2048","570","115.673179","2.780771","0.009083","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","0.9428571428571428","0.7571428571428571","False"
"embeddinggemma","200","100","5","development","768","2048","570","115.673179","2.780771","0.009083","35","0.9428571428571428","0.8139261926062996","0.984187170385956","0.9714285714285714","0.77","False"
"embeddinggemma","200","100","10","development","768","2048","570","115.673179","2.780771","0.009083","35","0.9428571428571428","0.8139261926062996","0.984187170385956","0.9714285714285714","0.77","False"
"embeddinggemma","400","0","1","development","768","2048","143","85.532502","2.780771","0.003728","35","0.4857142857142857","0.32993980391252736","0.6443146037328837","0.6571428571428571","0.4857142857142857","False"
"embeddinggemma","400","0","3","development","768","2048","143","85.532502","2.780771","0.003728","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.7714285714285715","0.5761904761904761","False"
"embeddinggemma","400","0","5","development","768","2048","143","85.532502","2.780771","0.003728","35","0.7428571428571429","0.5793037572935127","0.8583713127344985","0.8285714285714286","0.5890476190476189","False"
"embeddinggemma","400","0","10","development","768","2048","143","85.532502","2.780771","0.003728","35","0.8571428571428571","0.7062411969132573","0.9373986119514649","0.9428571428571428","0.6055442176870748","False"
"embeddinggemma","400","50","1","development","768","2048","163","61.156981","2.780771","0.004945","35","0.5714285714285714","0.4085712925897337","0.7201566691832108","0.6857142857142857","0.5714285714285714","False"
"embeddinggemma","400","50","3","development","768","2048","163","61.156981","2.780771","0.004945","35","0.7142857142857143","0.5494475193017891","0.8367363660170444","0.8285714285714286","0.6428571428571429","False"
"embeddinggemma","400","50","5","development","768","2048","163","61.156981","2.780771","0.004945","35","0.8571428571428571","0.7062411969132573","0.9373986119514649","0.8571428571428571","0.6771428571428572","False"
"embeddinggemma","400","50","10","development","768","2048","163","61.156981","2.780771","0.004945","35","0.9142857142857143","0.7762040092883747","0.970418168994703","0.9428571428571428","0.6859863945578232","False"
"embeddinggemma","400","100","1","development","768","2048","190","74.482907","2.780771","0.004191","35","0.5428571428571428","0.38189451340137515","0.6953422636623914","0.6857142857142857","0.5428571428571428","False"
"embeddinggemma","400","100","3","development","768","2048","190","74.482907","2.780771","0.004191","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","0.9142857142857143","0.6619047619047619","False"
"embeddinggemma","400","100","5","development","768","2048","190","74.482907","2.780771","0.004191","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","0.9142857142857143","0.6619047619047619","False"
"embeddinggemma","400","100","10","development","768","2048","190","74.482907","2.780771","0.004191","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","0.9428571428571428","0.6695578231292517","False"
"embeddinggemma","800","0","1","development","768","2048","72","60.168789","2.780771","0.002462","35","0.5714285714285714","0.4085712925897337","0.7201566691832108","0.5714285714285714","0.5714285714285714","False"
"embeddinggemma","800","0","3","development","768","2048","72","60.168789","2.780771","0.002462","35","0.7142857142857143","0.5494475193017891","0.8367363660170444","0.7142857142857143","0.638095238095238","False"
"embeddinggemma","800","0","5","development","768","2048","72","60.168789","2.780771","0.002462","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","0.8571428571428571","0.6666666666666666","False"
"embeddinggemma","800","0","10","development","768","2048","72","60.168789","2.780771","0.002462","35","0.9142857142857143","0.7762040092883747","0.970418168994703","0.9428571428571428","0.6790816326530612","False"
"embeddinggemma","800","50","1","development","768","2048","77","62.272655","2.780771","0.002407","35","0.45714285714285713","0.3046577363376085","0.6181054865986247","0.5428571428571428","0.45714285714285713","False"
"embeddinggemma","800","50","3","development","768","2048","77","62.272655","2.780771","0.002407","35","0.7428571428571429","0.5793037572935127","0.8583713127344985","0.8571428571428571","0.5714285714285714","False"
"embeddinggemma","800","50","5","development","768","2048","77","62.272655","2.780771","0.002407","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","0.9142857142857143","0.5914285714285714","False"
"embeddinggemma","800","50","10","development","768","2048","77","62.272655","2.780771","0.002407","35","0.9142857142857143","0.7762040092883747","0.970418168994703","0.9714285714285714","0.6050340136054421","False"
"embeddinggemma","800","100","1","development","768","2048","82","65.860593","2.780771","0.002484","35","0.45714285714285713","0.3046577363376085","0.6181054865986247","0.5714285714285714","0.45714285714285713","False"
"embeddinggemma","800","100","3","development","768","2048","82","65.860593","2.780771","0.002484","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.8","0.5857142857142857","False"
"embeddinggemma","800","100","5","development","768","2048","82","65.860593","2.780771","0.002484","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","0.8571428571428571","0.5985714285714285","False"
"embeddinggemma","800","100","10","development","768","2048","82","65.860593","2.780771","0.002484","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","0.9142857142857143","0.6062244897959184","False"
"mxbai-embed-large","200","0","1","development","1024","512","286","130.827152","2.672203","0.006226","35","0.4857142857142857","0.32993980391252736","0.6443146037328837","0.6571428571428571","0.4857142857142857","False"
"mxbai-embed-large","200","0","3","development","1024","512","286","130.827152","2.672203","0.006226","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.9428571428571428","0.5857142857142857","False"
"mxbai-embed-large","200","0","5","development","1024","512","286","130.827152","2.672203","0.006226","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.9714285714285714","0.6042857142857142","False"
"mxbai-embed-large","200","0","10","development","1024","512","286","130.827152","2.672203","0.006226","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","1.0","0.6112244897959184","False"
"mxbai-embed-large","200","50","1","development","1024","512","381","192.407657","2.672203","0.009057","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.8","0.6857142857142857","False"
"mxbai-embed-large","200","50","3","development","1024","512","381","192.407657","2.672203","0.009057","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","0.9714285714285714","0.7666666666666666","False"
"mxbai-embed-large","200","50","5","development","1024","512","381","192.407657","2.672203","0.009057","35","0.9142857142857143","0.7762040092883747","0.970418168994703","1.0","0.7738095238095237","False"
"mxbai-embed-large","200","50","10","development","1024","512","381","192.407657","2.672203","0.009057","35","0.9428571428571428","0.8139261926062996","0.984187170385956","1.0","0.777891156462585","False"
"mxbai-embed-large","200","100","1","development","1024","512","570","263.283603","2.672203","0.011852","35","0.6285714285714286","0.46336640488021064","0.7683439263110894","0.7714285714285715","0.6285714285714286","False"
"mxbai-embed-large","200","100","3","development","1024","512","570","263.283603","2.672203","0.011852","35","0.8571428571428571","0.7062411969132573","0.9373986119514649","0.9714285714285714","0.7238095238095239","False"
"mxbai-embed-large","200","100","5","development","1024","512","570","263.283603","2.672203","0.011852","35","0.9142857142857143","0.7762040092883747","0.970418168994703","0.9714285714285714","0.7366666666666666","False"
"mxbai-embed-large","200","100","10","development","1024","512","570","263.283603","2.672203","0.011852","35","0.9428571428571428","0.8139261926062996","0.984187170385956","1.0","0.7414285714285714","False"
"mxbai-embed-large","400","0","1","development","1024","512","143","106.744746","2.672203","0.004348","35","0.42857142857142855","0.27984333081678914","0.5914287074102662","0.5142857142857142","0.42857142857142855","True"
"mxbai-embed-large","400","0","3","development","1024","512","143","106.744746","2.672203","0.004348","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.8285714285714286","0.5476190476190476","True"
"mxbai-embed-large","400","0","5","development","1024","512","143","106.744746","2.672203","0.004348","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.9142857142857143","0.569047619047619","True"
"mxbai-embed-large","400","0","10","development","1024","512","143","106.744746","2.672203","0.004348","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","0.9714285714285714","0.5855102040816327","True"
"mxbai-embed-large","400","50","1","development","1024","512","163","122.730903","2.672203","0.004507","35","0.5428571428571428","0.38189451340137515","0.6953422636623914","0.6","0.5428571428571428","True"
"mxbai-embed-large","400","50","3","development","1024","512","163","122.730903","2.672203","0.004507","35","0.8","0.6410806339053748","0.899576805540992","0.8857142857142857","0.6476190476190475","True"
"mxbai-embed-large","400","50","5","development","1024","512","163","122.730903","2.672203","0.004507","35","0.8571428571428571","0.7062411969132573","0.9373986119514649","0.9428571428571428","0.6604761904761904","True"
"mxbai-embed-large","400","50","10","development","1024","512","163","122.730903","2.672203","0.004507","35","0.9428571428571428","0.8139261926062996","0.984187170385956","1.0","0.6747619047619047","True"
"mxbai-embed-large","400","100","1","development","1024","512","190","140.908461","2.672203","0.004704","35","0.5428571428571428","0.38189451340137515","0.6953422636623914","0.7428571428571429","0.5428571428571428","True"
"mxbai-embed-large","400","100","3","development","1024","512","190","140.908461","2.672203","0.004704","35","0.7142857142857143","0.5494475193017891","0.8367363660170444","0.8857142857142857","0.6190476190476191","True"
"mxbai-embed-large","400","100","5","development","1024","512","190","140.908461","2.672203","0.004704","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.9142857142857143","0.6333333333333334","True"
"mxbai-embed-large","400","100","10","development","1024","512","190","140.908461","2.672203","0.004704","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","1.0","0.6511904761904762","True"
"mxbai-embed-large","800","0","1","development","1024","512","72","53.590038","2.672203","0.00246","35","0.3142857142857143","0.18550658059782457","0.47980071879251973","0.42857142857142855","0.3142857142857143","True"
"mxbai-embed-large","800","0","3","development","1024","512","72","53.590038","2.672203","0.00246","35","0.5142857142857142","0.35568539626711626","0.6700601960874726","0.6571428571428571","0.40476190476190477","True"
"mxbai-embed-large","800","0","5","development","1024","512","72","53.590038","2.672203","0.00246","35","0.6285714285714286","0.46336640488021064","0.7683439263110894","0.7142857142857143","0.4319047619047619","True"
"mxbai-embed-large","800","0","10","development","1024","512","72","53.590038","2.672203","0.00246","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.7428571428571429","0.44023809523809526","True"
"mxbai-embed-large","800","50","1","development","1024","512","77","57.444439","2.672203","0.002507","35","0.42857142857142855","0.27984333081678914","0.5914287074102662","0.5428571428571428","0.42857142857142855","True"
"mxbai-embed-large","800","50","3","development","1024","512","77","57.444439","2.672203","0.002507","35","0.6","0.43572419581519467","0.7444949506669274","0.8285714285714286","0.4952380952380953","True"
"mxbai-embed-large","800","50","5","development","1024","512","77","57.444439","2.672203","0.002507","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.9428571428571428","0.5138095238095238","True"
"mxbai-embed-large","800","50","10","development","1024","512","77","57.444439","2.672203","0.002507","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","1.0","0.5350680272108844","True"
"mxbai-embed-large","800","100","1","development","1024","512","82","59.895225","2.672203","0.002596","35","0.42857142857142855","0.27984333081678914","0.5914287074102662","0.6","0.42857142857142855","True"
"mxbai-embed-large","800","100","3","development","1024","512","82","59.895225","2.672203","0.002596","35","0.5142857142857142","0.35568539626711626","0.6700601960874726","0.7428571428571429","0.46666666666666673","True"
"mxbai-embed-large","800","100","5","development","1024","512","82","59.895225","2.672203","0.002596","35","0.6285714285714286","0.46336640488021064","0.7683439263110894","0.8","0.4952380952380953","True"
"mxbai-embed-large","800","100","10","development","1024","512","82","59.895225","2.672203","0.002596","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.8285714285714286","0.5040816326530612","True"
"nomic-embed-text","200","0","1","development","768","2048","286","52.575087","1.063581","0.00585","35","0.5428571428571428","0.38189451340137515","0.6953422636623914","0.7428571428571429","0.5428571428571428","False"
"nomic-embed-text","200","0","3","development","768","2048","286","52.575087","1.063581","0.00585","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.8857142857142857","0.6142857142857143","False"
"nomic-embed-text","200","0","5","development","768","2048","286","52.575087","1.063581","0.00585","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.9428571428571428","0.6342857142857142","False"
"nomic-embed-text","200","0","10","development","768","2048","286","52.575087","1.063581","0.00585","35","0.8285714285714286","0.6731739236041119","0.9189747005514328","0.9714285714285714","0.6426190476190476","False"
"nomic-embed-text","200","50","1","development","768","2048","381","70.54064","1.063581","0.006473","35","0.7142857142857143","0.5494475193017891","0.8367363660170444","0.7714285714285715","0.7142857142857143","False"
"nomic-embed-text","200","50","3","development","768","2048","381","70.54064","1.063581","0.006473","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","0.9428571428571428","0.7857142857142856","False"
"nomic-embed-text","200","50","5","development","768","2048","381","70.54064","1.063581","0.006473","35","0.9142857142857143","0.7762040092883747","0.970418168994703","0.9714285714285714","0.7914285714285714","False"
"nomic-embed-text","200","50","10","development","768","2048","381","70.54064","1.063581","0.006473","35","0.9428571428571428","0.8139261926062996","0.984187170385956","1.0","0.7961904761904761","False"
"nomic-embed-text","200","100","1","development","768","2048","570","132.047761","1.063581","0.011241","35","0.6285714285714286","0.46336640488021064","0.7683439263110894","0.7428571428571429","0.6285714285714286","False"
"nomic-embed-text","200","100","3","development","768","2048","570","132.047761","1.063581","0.011241","35","0.8571428571428571","0.7062411969132573","0.9373986119514649","0.9428571428571428","0.7285714285714285","False"
"nomic-embed-text","200","100","5","development","768","2048","570","132.047761","1.063581","0.011241","35","0.9142857142857143","0.7762040092883747","0.970418168994703","0.9428571428571428","0.7428571428571429","False"
"nomic-embed-text","200","100","10","development","768","2048","570","132.047761","1.063581","0.011241","35","0.9428571428571428","0.8139261926062996","0.984187170385956","1.0","0.7476190476190476","False"
"nomic-embed-text","400","0","1","development","768","2048","143","57.615635","1.063581","0.003795","35","0.45714285714285713","0.3046577363376085","0.6181054865986247","0.5714285714285714","0.45714285714285713","False"
"nomic-embed-text","400","0","3","development","768","2048","143","57.615635","1.063581","0.003795","35","0.6857142857142857","0.5201992812074803","0.8144934194021753","0.8","0.5666666666666667","False"
"nomic-embed-text","400","0","5","development","768","2048","143","57.615635","1.063581","0.003795","35","0.7428571428571429","0.5793037572935127","0.8583713127344985","0.9142857142857143","0.5809523809523809","False"
"nomic-embed-text","400","0","10","development","768","2048","143","57.615635","1.063581","0.003795","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","1.0","0.6007936507936508","False"
"nomic-embed-text","400","50","1","development","768","2048","163","65.928541","1.063581","0.00352","35","0.5714285714285714","0.4085712925897337","0.7201566691832108","0.6285714285714286","0.5714285714285714","False"
"nomic-embed-text","400","50","3","development","768","2048","163","65.928541","1.063581","0.00352","35","0.7428571428571429","0.5793037572935127","0.8583713127344985","0.8571428571428571","0.6476190476190475","False"
"nomic-embed-text","400","50","5","development","768","2048","163","65.928541","1.063581","0.00352","35","0.8","0.6410806339053748","0.899576805540992","0.8857142857142857","0.6604761904761904","False"
"nomic-embed-text","400","50","10","development","768","2048","163","65.928541","1.063581","0.00352","35","0.9428571428571428","0.8139261926062996","0.984187170385956","1.0","0.6817346938775509","False"
"nomic-embed-text","400","100","1","development","768","2048","190","75.92476","1.063581","0.004068","35","0.5714285714285714","0.4085712925897337","0.7201566691832108","0.7428571428571429","0.5714285714285714","False"
"nomic-embed-text","400","100","3","development","768","2048","190","75.92476","1.063581","0.004068","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.8857142857142857","0.6666666666666667","False"
"nomic-embed-text","400","100","5","development","768","2048","190","75.92476","1.063581","0.004068","35","0.8571428571428571","0.7062411969132573","0.9373986119514649","0.9428571428571428","0.6880952380952382","False"
"nomic-embed-text","400","100","10","development","768","2048","190","75.92476","1.063581","0.004068","35","0.9142857142857143","0.7762040092883747","0.970418168994703","1.0","0.6944444444444444","False"
"nomic-embed-text","800","0","1","development","768","2048","72","77.380136","1.063581","0.003123","35","0.42857142857142855","0.27984333081678914","0.5914287074102662","0.5142857142857142","0.42857142857142855","False"
"nomic-embed-text","800","0","3","development","768","2048","72","77.380136","1.063581","0.003123","35","0.6285714285714286","0.46336640488021064","0.7683439263110894","0.6857142857142857","0.5095238095238095","False"
"nomic-embed-text","800","0","5","development","768","2048","72","77.380136","1.063581","0.003123","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.8285714285714286","0.540952380952381","False"
"nomic-embed-text","800","0","10","development","768","2048","72","77.380136","1.063581","0.003123","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","0.9142857142857143","0.5570521541950113","False"
"nomic-embed-text","800","50","1","development","768","2048","77","68.411336","1.063581","0.00219","35","0.5428571428571428","0.38189451340137515","0.6953422636623914","0.6571428571428571","0.5428571428571428","False"
"nomic-embed-text","800","50","3","development","768","2048","77","68.411336","1.063581","0.00219","35","0.7714285714285715","0.6098236221989801","0.879342632538209","0.9142857142857143","0.6428571428571428","False"
"nomic-embed-text","800","50","5","development","768","2048","77","68.411336","1.063581","0.00219","35","0.8571428571428571","0.7062411969132573","0.9373986119514649","0.9714285714285714","0.6628571428571427","False"
"nomic-embed-text","800","50","10","development","768","2048","77","68.411336","1.063581","0.00219","35","0.8857142857142857","0.7404820521187976","0.9546489414551025","1.0","0.6664285714285713","False"
"nomic-embed-text","800","100","1","development","768","2048","82","90.703041","1.063581","0.002391","35","0.4","0.25550504933307244","0.5642758041848053","0.5428571428571428","0.4","False"
"nomic-embed-text","800","100","3","development","768","2048","82","90.703041","1.063581","0.002391","35","0.6285714285714286","0.46336640488021064","0.7683439263110894","0.7714285714285715","0.5047619047619047","False"
"nomic-embed-text","800","100","5","development","768","2048","82","90.703041","1.063581","0.002391","35","0.7428571428571429","0.5793037572935127","0.8583713127344985","0.8571428571428571","0.5304761904761904","False"
"nomic-embed-text","800","100","10","development","768","2048","82","90.703041","1.063581","0.002391","35","0.8","0.6410806339053748","0.899576805540992","0.9142857142857143","0.5377324263038549","False"
"all-minilm","200","0","1","test","384","512","286","7.897197","0.440551","0.156294","15","0.4666666666666667","0.24809225259746442","0.6988336984894921","0.6","0.4666666666666667","False"
"all-minilm","200","0","3","test","384","512","286","7.897197","0.440551","0.156294","15","0.5333333333333333","0.3011663015105079","0.7519077474025355","0.7333333333333333","0.5","False"
"all-minilm","200","0","5","test","384","512","286","7.897197","0.440551","0.156294","15","0.6666666666666666","0.41713125151212976","0.8482389930530876","0.8666666666666667","0.5266666666666667","False"
"all-minilm","200","0","10","test","384","512","286","7.897197","0.440551","0.156294","15","0.8","0.5481406466534955","0.9295257935638959","0.9333333333333333","0.5433333333333333","False"
"all-minilm","200","50","1","test","384","512","381","9.993271","0.440551","0.006008","15","0.5333333333333333","0.3011663015105079","0.7519077474025355","0.5333333333333333","0.5333333333333333","False"
"all-minilm","200","50","3","test","384","512","381","9.993271","0.440551","0.006008","15","0.6666666666666666","0.41713125151212976","0.8482389930530876","0.8","0.5888888888888888","False"
"all-minilm","200","50","5","test","384","512","381","9.993271","0.440551","0.006008","15","0.6666666666666666","0.41713125151212976","0.8482389930530876","0.8","0.5888888888888888","False"
"all-minilm","200","50","10","test","384","512","381","9.993271","0.440551","0.006008","15","0.8666666666666667","0.6211750079348376","0.9626395301086407","0.9333333333333333","0.6178571428571428","False"
"all-minilm","200","100","1","test","384","512","570","14.860091","0.440551","0.009421","15","0.4666666666666667","0.24809225259746442","0.6988336984894921","0.5333333333333333","0.4666666666666667","False"
"all-minilm","200","100","3","test","384","512","570","14.860091","0.440551","0.009421","15","0.6666666666666666","0.41713125151212976","0.8482389930530876","0.8","0.5666666666666667","False"
"all-minilm","200","100","5","test","384","512","570","14.860091","0.440551","0.009421","15","0.7333333333333333","0.4804911034231324","0.8910272389681718","0.9333333333333333","0.58","False"
"all-minilm","200","100","10","test","384","512","570","14.860091","0.440551","0.009421","15","0.8666666666666667","0.6211750079348376","0.9626395301086407","0.9333333333333333","0.5950000000000001","False"
"all-minilm","400","0","1","test","384","512","143","6.149546","0.440551","0.002901","15","0.4666666666666667","0.24809225259746442","0.6988336984894921","0.4666666666666667","0.4666666666666667","True"
"all-minilm","400","0","3","test","384","512","143","6.149546","0.440551","0.002901","15","0.6666666666666666","0.41713125151212976","0.8482389930530876","0.6666666666666666","0.5555555555555556","True"
"all-minilm","400","0","5","test","384","512","143","6.149546","0.440551","0.002901","15","0.7333333333333333","0.4804911034231324","0.8910272389681718","0.8","0.5722222222222223","True"
"all-minilm","400","0","10","test","384","512","143","6.149546","0.440551","0.002901","15","0.8666666666666667","0.6211750079348376","0.9626395301086407","0.9333333333333333","0.587037037037037","True"
"all-minilm","400","50","1","test","384","512","163","6.936253","0.440551","0.00334","15","0.4666666666666667","0.24809225259746442","0.6988336984894921","0.5333333333333333","0.4666666666666667","True"
"all-minilm","400","50","3","test","384","512","163","6.936253","0.440551","0.00334","15","0.6666666666666666","0.41713125151212976","0.8482389930530876","0.7333333333333333","0.5555555555555555","True"
"all-minilm","400","50","5","test","384","512","163","6.936253","0.440551","0.00334","15","0.8666666666666667","0.6211750079348376","0.9626395301086407","0.9333333333333333","0.6022222222222222","True"
"all-minilm","400","50","10","test","384","512","163","6.936253","0.440551","0.00334","15","0.9333333333333333","0.7018292244757601","0.9881334113938051","1.0","0.6133333333333333","True"
"all-minilm","400","100","1","test","384","512","190","8.233976","0.440551","0.003033","15","0.6","0.357464427565077","0.8017577191740534","0.6","0.6","True"
"all-minilm","400","100","3","test","384","512","190","8.233976","0.440551","0.003033","15","0.8","0.5481406466534955","0.9295257935638959","0.8","0.6777777777777778","True"
"all-minilm","400","100","5","test","384","512","190","8.233976","0.440551","0.003033","15","0.8","0.5481406466534955","0.9295257935638959","0.8","0.6777777777777778","True"
"all-minilm","400","100","10","test","384","512","190","8.233976","0.440551","0.003033","15","0.8666666666666667","0.6211750079348376","0.9626395301086407","0.9333333333333333","0.6844444444444444","True"
"all-minilm","800","0","1","test","384","512","72","3.085697","0.440551","0.00377","15","0.3333333333333333","0.15176100694691236","0.5828687484878701","0.3333333333333333","0.3333333333333333","True"
"all-minilm","800","0","3","test","384","512","72","3.085697","0.440551","0.00377","15","0.4","0.19824228082594664","0.642535572434923","0.5333333333333333","0.36666666666666664","True"
"all-minilm","800","0","5","test","384","512","72","3.085697","0.440551","0.00377","15","0.8","0.5481406466534955","0.9295257935638959","0.8","0.4566666666666667","True"
"all-minilm","800","0","10","test","384","512","72","3.085697","0.440551","0.00377","15","1.0","0.7961107336956521","1.0","1.0","0.48629629629629634","True"
"all-minilm","800","50","1","test","384","512","77","3.281024","0.440551","0.002306","15","0.3333333333333333","0.15176100694691236","0.5828687484878701","0.4666666666666667","0.3333333333333333","True"
"all-minilm","800","50","3","test","384","512","77","3.281024","0.440551","0.002306","15","0.5333333333333333","0.3011663015105079","0.7519077474025355","0.6666666666666666","0.4222222222222222","True"
"all-minilm","800","50","5","test","384","512","77","3.281024","0.440551","0.002306","15","0.6","0.357464427565077","0.8017577191740534","0.7333333333333333","0.43555555555555553","True"
"all-minilm","800","50","10","test","384","512","77","3.281024","0.440551","0.002306","15","0.7333333333333333","0.4804911034231324","0.8910272389681718","0.8666666666666667","0.4524867724867725","True"
"all-minilm","800","100","1","test","384","512","82","3.403141","0.440551","0.002189","15","0.4666666666666667","0.24809225259746442","0.6988336984894921","0.5333333333333333","0.4666666666666667","True"
"all-minilm","800","100","3","test","384","512","82","3.403141","0.440551","0.002189","15","0.8666666666666667","0.6211750079348376","0.9626395301086407","0.8666666666666667","0.6555555555555554","True"
"all-minilm","800","100","5","test","384","512","82","3.403141","0.440551","0.002189","15","0.8666666666666667","0.6211750079348376","0.9626395301086407","0.8666666666666667","0.6555555555555554","True"
"all-minilm","800","100","10","test","384","512","82","3.403141","0.440551","0.002189","15","0.8666666666666667","0.6211750079348376","0.9626395301086407","0.8666666666666667","0.6555555555555554","True"
"embeddinggemma","200","0","1","test","768","2048","286","60.622291","2.780771","0.005866","15","0.6666666666666666","0.41713125151212976","0.8482389930530876","0.8","0.6666666666666666","False"
"embeddinggemma","200","0","3","test","768","2048","286","60.622291","2.780771","0.005866","15","0.7333333333333333","0.4804911034231324","0.8910272389681718","0.9333333333333333","0.7","False"
"embeddinggemma","200","0","5","test","768","2048","286","60.622291","2.780771","0.005866","15","0.8","0.5481406466534955","0.9295257935638959","1.0","0.7133333333333333","False"
"embeddinggemma","200","0","10","test","768","2048","286","60.622291","2.780771","0.005866","15","0.8666666666666667","0.6211750079348376","0.9626395301086407","1.0","0.72","False"
"embeddinggemma","200","50","1","test","768","2048","381","79.466947","2.780771","0.006798","15","0.6666666666666666","0.41713125151212976","0.8482389930530876","0.8666666666666667","0.6666666666666666","False"
